Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,South Carolina,Decedent's home,51,"1,798",36,,0,78,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,South Carolina,Hospice facility,14,361,20,0,,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,South Carolina,Nursing home/long term care facility,27,545,13,,,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,South Carolina,Other,,329,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,South Carolina,Place of death unknown,0,0,0,0,0,0,
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,South Carolina,Total - All Places of Death,234,"4,754",269,86,0,417,
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,South Carolina,"Healthcare setting, inpatient",114,"1,272",184,61,0,237,
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,South Carolina,"Healthcare setting, outpatient or emergency room",,258,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,South Carolina,Decedent's home,56,"1,893",30,,0,78,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,South Carolina,Hospice facility,21,358,22,,0,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,South Carolina,Nursing home/long term care facility,33,584,20,,0,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,South Carolina,Other,,386,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,South Carolina,Place of death unknown,0,0,0,0,0,0,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,South Carolina,Total - All Places of Death,288,"4,763",302,103,0,487,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,South Carolina,"Healthcare setting, inpatient",133,"1,358",194,68,0,259,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,South Carolina,"Healthcare setting, outpatient or emergency room",12,244,10,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,South Carolina,Decedent's home,62,"1,876",39,,0,92,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,South Carolina,Hospice facility,45,389,27,10,0,62,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,South Carolina,Nursing home/long term care facility,31,585,26,,0,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,South Carolina,Other,,309,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,South Carolina,Place of death unknown,0,0,0,0,0,0,
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,South Carolina,Total - All Places of Death,203,"4,695",285,63,,427,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,South Carolina,"Healthcare setting, inpatient",92,"1,305",201,40,,255,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,South Carolina,"Healthcare setting, outpatient or emergency room",,252,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,South Carolina,Decedent's home,45,"1,893",26,,0,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,South Carolina,Hospice facility,24,360,23,,0,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,South Carolina,Nursing home/long term care facility,26,576,25,,0,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,South Carolina,Other,,307,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,South Carolina,Place of death unknown,0,0,0,0,0,0,
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,South Carolina,Total - All Places of Death,161,"4,986",267,49,12,391,
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,South Carolina,"Healthcare setting, inpatient",70,"1,408",180,34,10,226,
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,South Carolina,"Healthcare setting, outpatient or emergency room",,258,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,South Carolina,Decedent's home,39,"1,957",38,,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,South Carolina,Hospice facility,22,375,25,,0,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,South Carolina,Nursing home/long term care facility,24,615,14,,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,South Carolina,Other,,372,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,South Carolina,Place of death unknown,0,0,0,0,0,0,
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,South Carolina,Total - All Places of Death,124,"4,917",276,32,36,400,
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,South Carolina,"Healthcare setting, inpatient",42,"1,328",186,18,22,229,
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,South Carolina,"Healthcare setting, outpatient or emergency room",,267,,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,South Carolina,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,South Carolina,Decedent's home,27,"1,945",28,,,55,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,South Carolina,Hospice facility,16,413,29,,,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,South Carolina,Nursing home/long term care facility,29,653,23,,,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,South Carolina,Other,,311,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,South Carolina,Place of death unknown,0,0,0,0,0,0,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,South Carolina,Total - All Places of Death,235,"5,408",341,79,46,538,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,South Carolina,"Healthcare setting, inpatient",115,"1,548",231,53,32,322,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,South Carolina,"Healthcare setting, outpatient or emergency room",10,320,10,,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,South Carolina,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,South Carolina,Decedent's home,33,"2,090",37,,,67,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,South Carolina,Hospice facility,30,413,34,12,,54,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,South Carolina,Nursing home/long term care facility,44,691,28,,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,South Carolina,Other,,346,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,South Carolina,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,South Carolina,Total - All Places of Death,391,"5,277",401,140,28,675,
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,South Carolina,"Healthcare setting, inpatient",197,"1,594",278,101,15,388,
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,South Carolina,"Healthcare setting, outpatient or emergency room",10,305,11,,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,South Carolina,Decedent's home,57,"1,958",37,10,,86,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,South Carolina,Hospice facility,58,468,45,17,,90,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,South Carolina,Nursing home/long term care facility,63,645,28,,,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,South Carolina,Other,,306,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,South Carolina,Place of death unknown,0,0,0,0,0,0,
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,South Carolina,Total - All Places of Death,185,"4,490",292,57,,426,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,South Carolina,"Healthcare setting, inpatient",76,"1,198",192,39,,234,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,South Carolina,"Healthcare setting, outpatient or emergency room",,274,,0,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,South Carolina,Decedent's home,39,"1,773",32,,,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,South Carolina,Hospice facility,27,408,32,,0,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,South Carolina,Nursing home/long term care facility,33,551,27,,,56,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,South Carolina,Other,,284,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,South Carolina,Place of death unknown,0,0,0,0,0,0,
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,South Carolina,Total - All Places of Death,110,"4,684",256,41,,331,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,South Carolina,"Healthcare setting, inpatient",46,"1,223",180,26,,202,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,South Carolina,"Healthcare setting, outpatient or emergency room",,260,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,South Carolina,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,South Carolina,Decedent's home,23,"1,848",27,,,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,South Carolina,Hospice facility,14,396,28,,0,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,South Carolina,Nursing home/long term care facility,25,638,16,,,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,South Carolina,Other,,319,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,South Carolina,Place of death unknown,0,0,0,0,0,0,
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,South Carolina,Total - All Places of Death,67,"4,435",216,18,,268,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,South Carolina,"Healthcare setting, inpatient",22,"1,180",155,16,,164,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,South Carolina,"Healthcare setting, outpatient or emergency room",0,244,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,South Carolina,Decedent's home,11,"1,706",21,0,0,32,
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,South Carolina,Hospice facility,17,400,25,,0,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,South Carolina,Nursing home/long term care facility,17,576,,0,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,South Carolina,Other,0,325,0,0,0,0,
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,South Carolina,Place of death unknown,0,0,0,0,0,0,
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,South Carolina,Total - All Places of Death,65,"4,519",226,19,,275,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,South Carolina,"Healthcare setting, inpatient",27,"1,239",149,11,,168,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,South Carolina,"Healthcare setting, outpatient or emergency room",,225,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,South Carolina,Decedent's home,11,"1,768",25,,0,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,South Carolina,Hospice facility,14,390,32,,0,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,South Carolina,Nursing home/long term care facility,10,556,15,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,South Carolina,Other,,340,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,South Carolina,Place of death unknown,0,0,0,0,0,0,
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,South Carolina,Total - All Places of Death,30,"2,890",141,13,,160,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,South Carolina,"Healthcare setting, inpatient",10,729,94,,,99,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,South Carolina,"Healthcare setting, outpatient or emergency room",,142,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,South Carolina,Decedent's home,,"1,183",18,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,South Carolina,Hospice facility,,261,18,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,South Carolina,Nursing home/long term care facility,,411,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,South Carolina,Other,0,163,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,South Carolina,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,South Dakota,Total - All Places of Death,0,730,60,0,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,South Dakota,"Healthcare setting, inpatient",0,199,29,0,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,South Dakota,"Healthcare setting, outpatient or emergency room",0,47,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,South Dakota,Decedent's home,0,145,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,South Dakota,Hospice facility,0,93,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,South Dakota,Nursing home/long term care facility,0,219,19,0,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,South Dakota,Other,0,26,0,0,0,0,
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,Total - All Places of Death,0,693,47,0,12,59,
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,"Healthcare setting, inpatient",0,183,26,0,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,"Healthcare setting, outpatient or emergency room",0,38,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,Decedent's home,0,130,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,Hospice facility,0,87,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,Nursing home/long term care facility,0,217,,0,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,Other,0,37,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,Total - All Places of Death,,744,67,0,,75,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,"Healthcare setting, inpatient",,193,38,0,,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,"Healthcare setting, outpatient or emergency room",0,31,0,0,0,0,
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,Decedent's home,0,168,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,Hospice facility,0,87,11,0,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,Nursing home/long term care facility,0,231,12,0,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,Other,0,33,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,Total - All Places of Death,21,697,52,,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,"Healthcare setting, inpatient",,151,27,,,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,"Healthcare setting, outpatient or emergency room",,48,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,Decedent's home,,154,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,Hospice facility,0,69,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,Nursing home/long term care facility,10,239,13,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,Other,0,34,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Total - All Places of Death,44,718,63,17,,92,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,"Healthcare setting, inpatient",18,188,35,,,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,"Healthcare setting, outpatient or emergency room",,46,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Decedent's home,,197,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Hospice facility,,79,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Nursing home/long term care facility,18,171,,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Other,,37,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
